sample_id,question,first_search_call,error_mode
WebQTrn-1077_0c34ca057060e35aa5c74fbbca682dee,"In the nation that has the Badakhshan province, what religions are practiced?","get_tail_entities(Badakhshan, location.location.containedby)",wrong-entity
WebQTrn-1864_67ecd1c247c3b2c9545fbcf1ad8d9d00,Which location in the Anadyr Timezone has the biggest population?,"get_tail_entities(Anadyr Time Zone, location.location.time_zones)",genuine-kg-miss
WebQTest-998_f693ae2cb9aa6b8ffdf0f103a6777b62,What is the most recent event in which the sports team owned by James L. Dolan won the championship?,"get_tail_entities(James L. Dolan, organization.leadership)",wrong-relation
WebQTrn-568_d54918e8e89ad97237bce821087a9818,In which US county is the TV program NBC Nightside filmed in?,"get_tail_entities(NBC Nightside, television.tv_program.episodes)",wrong-relation
WebQTrn-2215_11c4cd5a25fd84f3980d7013c0329bad,Where was the artist that had This Summer Tour raised?,"get_tail_entities(This Summer Tour, music.concert_tour.artist)",wrong-entity
WebQTrn-810_a188aff4a054e1ec66fafba1b8021f67,What year did the MLB franchise owned by Bill Neukom win the world series?,"get_tail_entities(Bill Neukom, organization.role)",wrong-relation
WebQTrn-3744_26401b4c33bcb760afd734acaa0a1869,The Daily Cardinal is the school newspaper at which university that Russell Wilson attended?,"get_tail_entities(Russell Wilson, sports.sports_team_roster.player)",genuine-kg-miss
WebQTrn-3744_b9bd90569bb7912ec3ea180bf164663c,What educational institution with men's  sports team named Wisconsin Badgers did Russell Wilson go to?,"get_tail_entities(Russell Wilson, sports.sports_team_roster.player)",genuine-kg-miss
WebQTrn-60_39ba4faa87698cb0767d1a5ee7ce1827,What country do they speak Portuguese where the GDP real adjusted value was once 100349905926?,"get_tail_entities(Portuguese Language, language.writing_system)",wrong-relation
WebQTest-121_333b95bd45af3e6e31e328bc8c24d84f,The person educated at Chase Lane Primary School played for what team in 2011?,"get_tail_entities(Chase Lane Primary School, educational_institution.school_district)",wrong-relation
WebQTrn-2444_e5059ff268415917df330817b9c8ef8c,"In what stadium does the team who is owned by William DeWitt, Jr. play?","get_tail_entities(William DeWitt, Jr.)",wrong-entity
WebQTrn-124_028bb5f442b37a4af9f9fd9fa0bc5e9a,What movies did the person who went to William O. Schafer Elementary School direct?,"get_tail_entities(William O. Schafer Elementary School, education.educational_institution.students_graduates)",wrong-entity
WebQTest-96_11da03aa9cec8b011619c8ea0dbfdcf9,The person who attended education institution in East Whittier Elementary School died where?,"get_tail_entities(East Whittier Elementary School, educational_institution.school_district)",wrong-relation
WebQTest-1528_25853c768670cd164d7793f094ba7cbb,What film with character Luke Castelland does Logan Lerman play in?,"get_tail_entities(Logan Lerman, film)",wrong-relation
WebQTrn-1841_6bf772ee1b388c1b3c226b02c8244aa7,"Which popular sports team in Spain, that won the 2014 Eurocup Finals championship?","get_tail_entities(Spain, Location.administrative_divisions)",wrong-relation
WebQTest-1119_8c41904eaef9fce2d95afd27eb9150ec,What organization led by Bentley B. Rayburn?,"get_tail_entities(Bentley B. Rayburn, organization.leadership.role)",wrong-relation
WebQTrn-1812_5fb6c8c4d53d55c03445e4b2454ef810,What Caribbean countries use the East Caribbean dollar currency?,"get_tail_entities(Caribbean, type)",wrong-relation
WebQTest-397_c7ee26d5c3f80107d7ae5fede489209a,What are the school colors of Harvard Art Museum?,"get_tail_entities(Harvard Art Museum, type)",wrong-entity
WebQTest-1348_3bddf705b2a346fbdc2f00e9a02b84f3,What team did Payton Manning's father play for that has a mascot named Viktor the Viking?,"get_tail_entities(Baltimore Ravens, sports.sports_team.roster)",wrong-entity
WebQTest-1560_1bee868ed5551a3cfdba70a720adbc04,"Who founded New York University, which held his governmental position from after 1795-03-04?","get_tail_entities(New York University, type)",wrong-relation
WebQTest-1560_e2ff014eae4ff8dbe3cacbb3e4b0002c,Who are the founders of the educational institution where the sports team NYU Violets Men's Basketball plays?,"get_tail_entities(NYU Violets Men's Basketball, sports.sports_team.roster)",wrong-relation
WebQTrn-1077_83f43b9f4c2707c689543b33efe1d28d,Which religion practiced in Afghanistan has a place of worship known as Ibrahim Mosque?,"get_tail_entities(Afghanistan, Location.administrative_divisions)",wrong-relation
WebQTrn-3535_dfcf84e9ba3b9baef4ee1f2cc51994b6,Who did the voice of character Kovu?,"get_tail_entities(Kovu, film)",wrong-relation
WebQTest-1012_7ee41dcd5e0ee726e65a46d891982c8f,What Hollywood studio produced the American Gladiators TV movie?,"get_tail_entities(American Gladiators, film_cut)",wrong-relation
WebQTrn-1841_cac535ea48922ba42c75ec7ac67cf454,What popular Spanish sport has a basketball team with head coach Joan Plaza?,"get_tail_entities(Spain, Location.administrative_divisions)",wrong-relation
WebQTest-1091_31c94b951f3d708ac503327d7979da93,"Which type of religions practiced in the United States, where the religion place of worship is called, Candi Laras?","get_tail_entities(United States of America, organization.organization_scope.organizations_with_this_scope)",wrong-relation
WebQTrn-1077_3c58a650bf56f8c8d0f6931d08bd2598,What are the religions in the area whose major exports are from fruit and tree nut farming?,"get_tail_entities(Fruit and tree nut farming, type)",format-mismatch
WebQTest-397_ef7c0ef1f2f2ee145c3e9fa70b47ab7d,What colors do the school where Donald Stanley Marshall is a grad student use?,"get_tail_entities(Donald Stanley Marshall, education.education.student)",genuine-kg-miss
WebQTest-1560_260b848263a65518db6f4418d93a311e,"Holding his governmental position from earliest, who founde New York University?","get_tail_entities(New York University, type)",wrong-relation
WebQTest-1260_018dc0c070e53555fa37f63d4b83ca87,In what year did mascot Poe's team win the Super Bowl?,"get_tail_entities(Super Bowl, sports.sports_championship_event.championship)",format-mismatch
WebQTest-1000_a1edafe051cb7bc171f2beb523d3a90c,Which nation uses the CFP Franc as currency and is located in Oceania?,"get_tail_entities(Oceania, type)",wrong-relation
WebQTrn-1532_cbf60f0a8068d6c5464651a537e93b13,What college with men's basketball sports team named UMKC Kangaroos did Harry S. Truman attend?,"get_tail_entities(Harry S. Truman, film)",wrong-relation
WebQTest-837_c4e06c3a9e4b4f10bd1ae97f1742c198,In what year did a team win the superbowl and the 2013 AFC Championship Game ?,"get_tail_entities(Super Bowl, type)",wrong-relation
WebQTrn-1484_1fbd766e1b1bf978da23e8646cadf3a1,The person who attended the education institution Colegio AlemÃ¡n Alexander von Humboldt did what kind of paintings?,"get_tail_entities(Colegio Alemán Alexander von Humboldt, education.educational_institution.colors)",wrong-relation
WebQTest-12_c701ad2b5b8ef3f3ed26dd2ed8703d05,"Who held his governmental position from December 12, 1808 and was Governor of Ohio in 2011?","get_tail_entities(Governor of Ohio, organization.role.leaders)",wrong-entity
WebQTrn-237_abc143e50fcf4915c8267215915795b5,Stelly McBeam is the team mascot for the sports team with who as head coach?,"get_tail_entities(Stelly McBeam, sports.mascot.team)",wrong-entity
WebQTest-743_42588c6fd3d30a777953bbaf2b4079b9,Who are brothers of the individual who was educated at Edward Devotion School?,"get_tail_entities(Edward Devotion School, educational_institution.school_district)",wrong-relation
WebQTrn-1077_02d4f95f5b408929cedd448772a62b5b,What religion in Afghanistan that worship in the mosque?,"get_tail_entities(Afghanistan, Location.administrative_divisions)",wrong-relation
WebQTest-538_7051341e8a163515972dc322874d8aa0,What movies did the artist that had the concert tour called the Taylor Swift Fears 2009 Tour play in?,"get_tail_entities(Taylor Swift Fearless Tour 2009, music.concert_tour.artist)",wrong-entity
WebQTrn-710_e3d40457273785e46c5b71732713a5f4,When is the last time the team whose mascot is called Crazy Cab win the World Series?,"get_tail_entities(Crazy Cab, sports.mascot.team)",wrong-entity
WebQTest-1785_87df014c2b1d5440ea39f0d94fe211cb,Which movie has a character named Margie and featured Kim Richards as an Actor?,"get_tail_entities(Kim Richards, film.performance.actor)",genuine-kg-miss
WebQTrn-1001_4e074d51c67d5358b05e462d1f48f3e5,What other Superbowls did the champion of the 1934 NFL Championship game win?,"get_tail_entities(Super Bowl, type)",format-mismatch
WebQTrn-857_87f2309c33a86e13ce73f341a6f1dc46,Who was the vice president of the person who went to St. John's Catholic Elementary School?,"get_tail_entities(St. John's Catholic Elementary School, educational_institution.school_district)",wrong-relation
WebQTrn-2738_910f8908e2d53dfb850b7b52b74e4a51,What art style was done by the person who lived at Le Chateau-Cambresis?,"get_tail_entities(Le Château-Cambresis, architecture.building.occupant)",wrong-entity
WebQTrn-1077_7bd6b37d01a372aa5af2a8d5ef53d827,What religion practiced in Afghanistan has a sacred site in Jesusalem?,"get_tail_entities(Afghanistan, Location.administrative_divisions)",wrong-relation
WebQTest-397_6a82d6252604de26338b33025b2a160a,What are the school colors of the educational institution that includes a grad student named Franklin Ford?,"get_tail_entities(Franklin Ford, education.education.student)",genuine-kg-miss
WebQTrn-25_5bbab94cc6dc1cc59a76eb19aed3832f,What film has a character named Kate and Taylor Lautner played in?,"get_tail_entities(Taylor Lautner, film)",wrong-relation
WebQTest-1560_fd6688bbf30871641ad813fcf09d673c,Which person held a government post from 1973-12-02 and established New York University?,"get_tail_entities(New York University, type)",wrong-relation
WebQTrn-1841_6f818301283181e8199f67b080fce068,What basketball team in Spain is Pablo Laso head coach for?,"get_tail_entities(Spain, Location.administrative_divisions)",wrong-relation
WebQTrn-1077_09020cbb000c86fda5910ec084690246,What religion holds sacred the place called Mecca and is observed in Afghanistan?,"get_tail_entities(Afghanistan, Location.adjoin_s)",wrong-relation
WebQTrn-849_82e069064d66663276c549f47e5e179d,What European Union country within the  Atlantic Time Zone shares borders with Germany?,"get_tail_entities(Germany, Location.administrative_divisions)",wrong-relation
WebQTrn-60_3fbdbecc8eff7b1125058d50ba70e19b,What country do people speak Portuguese where the long term unemployment rate is 15.5?,"get_tail_entities(Portuguese Language, language.writing_system)",wrong-relation
WebQTrn-2641_496153141015e2276bf542bbf6a99b96,Where did the famous person who went to Horace Mann School for the Deaf die?,"get_tail_entities(Horace Mann School for the Deaf, organization.headquarters)",wrong-entity
WebQTrn-237_f44adc4947a59c150317bb5923cf1c9b,"Who is the current head coach of the team the uses the song title ""Fight Polka""?","get_tail_entities(Fight Polka, music.composition.composer)",wrong-entity
WebQTrn-1812_40353d146817f5fe5dd67cb0643abe20,What caribbean countries once had co2 emissions of 1961 metric tons?,"get_tail_entities(Caribbean, organization_scope)",wrong-relation
WebQTest-106_f21253e8b8df81c378590e68b2cd107e,"In the film that has a charcter named Final Club Girl #1, who did Armie Hammer play?","get_tail_entities(Armie Hammer, film.performance.actor)",genuine-kg-miss
WebQTrn-241_0652d8b1cb95848c9630860c92e38e6f,What country bordering France that is in the Western European Time Zone?,"get_tail_entities(France, Location.administrative_divisions)",wrong-relation
WebQTrn-1812_82e069064d66663276c549f47e5e179d,What countries are in the Atlantic Time Zone in the Caribbean?,"get_tail_entities(Caribbean, organization_scope)",wrong-relation
WebQTrn-2314_2e6d98fb779ac3b63a5dd2688034c0c9,"What currency is used in the country with Nobel Patria, tu hermosa as its national anthem?","get_tail_entities(Nobel Patria, tu hermosa)",wrong-entity
WebQTrn-750_3678d94fca2cefdaebd9ae4df2b46ada,In what years did Stan Kasten's organization win the World Series?,"get_tail_entities(Stan Kasten, sports.sports_team_manager.team)",wrong-relation
WebQTest-1785_0943c2e85ef4350a9672b44cf93291d4,Which film with Idi Amin as a character did Kim Richards appear in?,"get_tail_entities(Idi Amin, film)",wrong-relation
WebQTrn-683_33af83d6d660a434aeb440fd6f82c8d5,"In film that has a charcter named World Security Council Member #3, who is playing Hawkeye?","get_tail_entities(m.09swsc3, film.performance.character)",wrong-entity
WebQTrn-14_1d1c28cc9c5f4e83f9f932e3615e2391,Where is the city that hosted the 1960 Summer Olympics located?,"get_tail_entities(1960 Summer Olympics, sports.sports_competition.participating_teams)",wrong-relation
WebQTrn-1659_96b4ef75cad08d1c7213c761f9c0c65f,What team with fight song Bow Down to Washington did Nate Robinson played for?,"get_tail_entities(Nate Robinson, sports.sports_team_roster.player)",genuine-kg-miss
WebQTrn-1297_0ed55ab55fae21af5b4b03af90678e30,Where did the person who went to Statford Northwestern Secondary school grow up?,"get_tail_entities(Stony Northwester Secondary School, educational_institution.school_district)",wrong-entity
WebQTrn-1521_3ddef42334254dad62fdbd0c3e4724e7,What is the mascot of the educational institution that has a sports team named the North Dakota State Bison?,"get_tail_entities(North Dakota State University, type)",wrong-entity
WebQTest-996_3b05c852523638229a0ba552f2ac27dd,Which stadium did Ireland play in where it won the World Cup Championship in rugby in 1995?,"get_tail_entities(Ireland, Location.administrative_divisions)",wrong-entity
WebQTrn-2023_a1424289baa01b0b74d44cdffa8ef18f,What is the location where the individual who attended Eli Whitney High School brought up?,"get_tail_entities(Eli Whitney High School, educational_institution.school_district)",wrong-relation
WebQTest-537_955d6e0a1fc92093ca7adcbd82267c5b,What movie with character named Ben Dunham #2 has Charlie Nunnam been in?,"get_tail_entities(Charlie Hunnam, film)",wrong-relation
WebQTest-1348_c1da6561b1fb496c7b1eae3b08eafca8,What NFL Team did Peyton Manning 's father play for also won the 2010 NFC Championship Game?,"get_tail_entities(Peyton Manning, sports.sports_team_roster.player)",genuine-kg-miss
WebQTest-1348_426b5d500aec6111d69c3f6f9b16b3f3,What team with team mascot named Sir Saint did Peyton Manning's dad play for?,"get_tail_entities(Peyton Manning, sports.sports_team_roster.team)",genuine-kg-miss
WebQTest-1260_6b1c0c0fb24a34937f450fdc16a3387b,"In what year did the sports team whose fight song is ""Seven Nation Army"" win the Super Bowl?","get_tail_entities(Super Bowl, sports.sports_championship_event.championship)",format-mismatch
WebQTest-1528_a2694b95163afd08c03e36c6c195cab6,What film that has a character named Charles De Batz-Castelmore does Logan Lerman play in?,"get_tail_entities(Charles De Batz-Castelmore, film.performance.character)",wrong-entity
WebQTrn-1077_f3866b9a2ec763921936d5aae203dcc0,What religion in Afghanistan that has a notable figure named Syed Aqeel-ul-Gharavi?,"get_tail_entities(Afghanistan, Location.administrative_divisions)",wrong-relation
WebQTrn-1646_6050f9741fc20724152eafe912e420e2,"In the country that uses the DOminican Peso, which currnecy is used?","get_tail_entities(Dominican peso, type)",wrong-relation
WebQTrn-894_d2fa08c8fbe626390ddbc99de7f9cfaa,Who inspired Scott Fitzgerald that is the architect who designed The Mount?,"get_tail_entities(Scott Fitzgerald, book.written_work.author)",wrong-entity
WebQTest-213_1bb5d148e28985730d4603ae86c12405,"Who did Scarlett Johansson date, and is the player started his sports career in 1992?","get_tail_entities(m.09swsc3, film.performance.actor)",wrong-entity
WebQTrn-25_ea583b84dc5dfe45c75fd39e26322506,What TV series with 50 episodes does Taylor Lautner play in?,"get_tail_entities(Taylor Lautner, film)",wrong-relation
WebQTest-1340_872253e47dd6ddaa213ff31eeda8783b,Where is Steven Nash from in the Eastern Time Zone?,"get_tail_entities(Steven Nash, sports.sports_team_roster.player)",wrong-entity
WebQTrn-1077_71f8695fd9d505f04a479ec4bf7a65c8,What religion with a place of worship named Madayi Palli is practiced in Afghanistan?,"get_tail_entities(Afghanistan, Location.administrative_divisions)",wrong-relation
WebQTrn-1677_59282357ecb12eaa2c93c4580085afa4,What film with character named Ginger did Adam Sandler play in?,"get_tail_entities(Adam Sandler, film.performance.actor)",genuine-kg-miss
WebQTrn-3515_a8f39779957aacb92b8f13790d0fb345,What educational institution with sports team named Miami RedHawks did Paul Ryan attend college?,"get_tail_entities(Paul Ryan, film)",wrong-relation
WebQTrn-2576_8c6b952c6bd963f0ece4e401c9eb731a,What Central Tiem Zone continent do the Falkland Islands belong to?,"get_tail_entities(Central Time Zone, relation)",wrong-relation
WebQTrn-775_5247c1be3efc99c92c92252207b7a20d,What group has Augrey o'Day in it and went on the concert tour Making the Band 4?,"get_tail_entities(Making the Band 4, music.album.artist)",wrong-entity
WebQTrn-2444_78f882dc1f711bbf67aec90c079f9864,The sports team owner Fred Hanser Stadium is where?,"get_tail_entities(Fred Hanser Stadium, sports.sports_facility.teams)",wrong-entity
WebQTrn-2400_56cc72c5eb2b46ff90577926dbe8cb1a,Who played the character Ratty Nepalese in the film Raiders of the Lost Ark?,"get_tail_entities(Raider of the Lost Ark, film.film.featured_film_locations)",wrong-entity
WebQTest-1260_c4e06c3a9e4b4f10bd1ae97f1742c198,Which Super Bowl was won by the team that also won the AFC Championship Game in 2013?,"get_tail_entities(Super Bowl, type)",format-mismatch
WebQTrn-3049_549e26794f52c12e657662c92cddfb02,What city hosted the 1996 Summer Olympics?,"get_tail_entities(m.0w9v_wz, location.containedby)",wrong-entity
WebQTrn-1677_51c7c4987eaddd466e006afb819973d8,In what film with a character named Robinson did Adam Sandler play in?,"get_tail_entities(Adam Sandler, film)",wrong-relation
WebQTest-1603_1f6f264bb8ed75d1f1faf9b26044401b,What is the sacred text of the religion who has Grotto-heavens as a sacred site?,"get_tail_entities(Grotto-heavens, location.location.containedby)",wrong-relation
WebQTest-1560_d87e6003e0bb73430e71d08cbc015b56,Who is the governmental officer prior to 3-4-1795 and founded New York University?,"get_tail_entities(New York University, type)",wrong-relation
WebQTrn-662_5ec0304dbb715858e564cb8426b7e4f7,What is the first name of the club that claimed the 2007-08 Premier League championship?,"get_tail_entities(2007–08 Premier League, sports.sports_league.season_regular_season)",wrong-relation
WebQTrn-1539_de8059b06640bb0b9cbe51ff95a7589a,Who plays in the film with the character Commander Kent?,"get_tail_entities(Star Wars, film)",wrong-entity
WebQTrn-2815_b0ec4891d80892c6499b17b0c8c363e2,Where was a famous person with the medical condition Addison's disease reared?,"get_tail_entities(Addison's disease, medical_treatment)",wrong-relation
WebQTest-1560_9c92108cab15de86fd747fe1982c5294,Who founded the branch organization that was originally a project of the Margaret Sanger Papers?,"get_tail_entities(Margaret Sanger Papers, organization.founding_organization.founders)",wrong-entity
WebQTrn-1077_12953ec0b5895afd7da838969d549013,What religions are practiced in the country that Pakistan exports to?,"get_tail_entities(Pakistani province, location.containedby)",wrong-entity
WebQTrn-452_006b1f1ed800c636a01f3888644cc1eb,"In which city, does Lala Anthony live, where the TV show Ace of Cakes was filmed?","get_tail_entities(Lala Anthony, film)",wrong-entity
WebQTest-1923_a5c10763224e9d1b176ceada6e84c464,What film with character named Troy Bolton has Miley Cyrus been in?,"get_tail_entities(Miley Cyrus, film)",wrong-relation
WebQTest-397_0b3a8b0643fac530a078012a025201fa,Harvard Board of Overseers is part of the school with what colors?,"get_tail_entities(Harvard Board of Overseers, organization.organization.leadership)",wrong-relation
WebQTrn-3083_8c30eccd3cde88b0a0d389f34d086641,"In the nation that uses The Internationale as the national anthem, who was the President in 1948?","get_tail_entities(1948, time.event.locations)",wrong-entity
WebQTrn-3087_a82e8e886228ce0d1aecee4a2caab326,What is the religion of the First Church of Lombard?,"get_tail_entities(First Church of Lombard, organization.organization_founders)",wrong-relation
WebQTrn-1259_11c4cd5a25fd84f3980d7013c0329bad,"Where did the ""Beat The Summer Tour"" artist graduate college?","get_tail_entities(Beat the Summer Tour, music.concert_tour.artist)",wrong-entity
WebQTrn-2653_c78405f6f2157645f1098f8a871f1bc2,What wars did the country that Louis-EugÃ¨ne Cavaignac was a governmental position been involved in?,"get_tail_entities(Wars of the Vendée, event.included_in_event)",wrong-entity
WebQTest-534_7184f912d2d2be62d80145479b29c642,What is the mascot of the sports team whose owner is Mark Attanasio?,"get_tail_entities(Mark Attanasio, organization.role)",wrong-relation
WebQTest-61_4dbb23937c062d0f3a3496d2fbf26a12,"What religion is practiced in the place where there is a religious place of worship called St. Mary's Cathedral, Batticaloa?","get_tail_entities(St. Mary's Cathedral, Batticaloa)",wrong-entity
WebQTest-590_e1cd6a19c1fe109a00e4149625e31531,Who is in charge of the usage of the Libyan dinar?,"get_tail_entities(Libyan dinar, type)",wrong-relation
WebQTrn-1770_1128ef6d5d784cec508a041e2d3c87b9,What is the daughter's name of the person who attended education institution St. Mary's Elementary School?,"get_tail_entities(St. Mary's Elementary School, educational_institution.school_district)",wrong-relation
WebQTest-759_ba7920b2a977b33afdc49bc8f82377b0,Who did Brad Pitt date that had bulimia nervosa?,"get_tail_entities(Brad Pitt, film)",wrong-relation
WebQTrn-3744_296c958684f7d96df61d00c4711d9dd6,What educational institution with The Badger Herald newspaper did Russell Wilson go to?,"get_tail_entities(Russell Wilson, sports.sports_team_player_stats.team)",wrong-relation
WebQTest-12_0267745d7968252ff8fbf5246c9287e9,"Who held his governmental position from after January 3, 1983 and was governor of Ohio in 2011?","get_tail_entities(m.011xdlvp, organization.leadership.role)",wrong-entity
WebQTest-1320_7184f912d2d2be62d80145479b29c642,What's the home field for the sports team owned by Mark Attanasio?,"get_tail_entities(Mark Attanasio, organization.role)",wrong-relation
WebQTrn-1731_c5d53d4eba0e558f65b11b34984d10b9,"In the concert tour named Raised on Radio Tour, what did Randy Jackson play?","get_tail_entities(Randy Jackson, music.featured_artist.recordings)",wrong-relation
WebQTest-12_974c964a1a2810facfeb4b1a996e878a,Who held a government post from 1979-01-03 and was the governor of Ohio in 2011?,"get_tail_entities(m.011xdlvp, organization.leadership.role)",wrong-entity
WebQTrn-683_3cfa649a5d5692f81e227ca73f32702f,Who is the actor that played Hawkeye in the movie that has a character named Senator Boynton?,"get_tail_entities(m.09swsc3, film.performance.character)",wrong-entity
WebQTrn-2478_76926adb8d69a10516897671bc45b2ec,What university has Otto the Orange for a mascot?,"get_tail_entities(University of Florida, type)",wrong-entity
WebQTrn-2486_bcd294e8b78226fb373c0a54e4dcba01,Where did the actor who played Forbes Cover Billionair graduate from?,"get_tail_entities(Forbes Cover Billionaire, film.film.featured_film_locations)",wrong-relation
WebQTrn-2834_1a821009d9d43af7c2094125b1dd5136,"What is the major religion called that is the subject of ""Lies My Father Told Me"" in the United States?","get_tail_entities(Lies My Father Told Me, book.written_work.subjects)",genuine-kg-miss
WebQTest-1528_f4911e93c40f00f8c256e3ccf42422c1,What Logan Leman movies were released on the distribution medium Blu-ray disc?,"get_tail_entities(Blu-ray, media_common.netflix_genre.titles)",wrong-entity
WebQTrn-2784_abedc8acd0fdcd2e595d7ec6d58d6058,"In which movies does Tupac act in, that was edited by Malcolm Campbell?","get_tail_entities(Tupac Shakur, film)",wrong-relation
WebQTest-191_1ca9a284fcd2c17f453b0fb590e8223f,What college Drew Brees attended is the  university with the smallest number of postgraduates?,"get_tail_entities(Drew Brees, sports.sports_team_player.stats)",wrong-relation
WebQTrn-1577_fc314eae63710b1e1427ebe5eb345966,Which school with the latest founding date did James Baldwin attend?,"get_tail_entities(James Baldwin, type)",wrong-relation
WebQTrn-497_5e9fcaa36ee91d7f8bbea0df75c2da02,"In which country is the location, where the film, ""Interview"" occurs?","get_tail_entities(Country, type)",wrong-entity
WebQTrn-25_65269a6707b8923aa10626533b2f7ae9,What moviews feature the actor who was the topic of the image taylor_wolfpack.jpg?,"get_tail_entities(Taylor_lwolfpack.jpg, common.image.appears_in_topic_gallery)",wrong-entity
WebQTest-450_32407709a2c3bb1902f55d63756250a4,What is the national flower of the state that held the United States Senate election of Hawaii in 2010?,"get_tail_entities(United States Senate election in Hawaii, 2010)",wrong-entity
WebQTrn-124_a91831e360cbb879545474e6db3851c6,What movie directed by Angelina Jolie did C.J. Valleroy play in?,"get_tail_entities(Angelina Jolie, film.performance.actor)",genuine-kg-miss
WebQTrn-2653_57622031abc6042a5a02dcf3b4300552,During which wars did France participate in using an army of less that 16544 soldiers?,"get_tail_entities(France, Location.administrative_divisions)",wrong-relation
WebQTest-1923_1bc85cf9eab0a0714557180ac27e91a2,"Of the movies that Miley Cyrus been in, which film was released on December 25,2003?","get_tail_entities(Miley Cyrus, film)",wrong-relation
WebQTrn-124_f3b167daf756d47d1ecd11a01d3ab353,What film directed by Angelina Jolie was written by Joel Coen?,"get_tail_entities(Angelina Jolie, film.performance.actor)",genuine-kg-miss
WebQTrn-1841_a5bd6833f38c9345eb2286b787986daa,What popular sports team in Spain was founded before 1994?,"get_tail_entities(Spain, Location.administrative_divisions)",wrong-relation
WebQTrn-3543_d7db4cdab1589b7c97a81236310a67f7,What country to which Japan exports contains a neighborhood called Al Barsha?,"get_tail_entities(Japan, Location.administrative_divisions)",wrong-relation
WebQTrn-3084_73a0a036677106856ef62808aa205b70,What country that has the largest calling code does Japan export goods to?,"get_tail_entities(Japan, Location.administrative_divisions)",wrong-relation
WebQTest-1171_6bdeb539174509f051a303e0ee59c246,What actor played the charactor Troy Bolton and also has done the voice of Star Wars villiam Darth Vader?,"get_tail_entities(Troy Bolton, film)",wrong-entity
WebQTest-537_a8a56da657efbba90881cce421ae6962,What movies featuring Charlie Hunnam have a film netflix_id lower than 60031289?,"get_tail_entities(Charlie Hunnam, film.performance.actor)",genuine-kg-miss
WebQTrn-2784_ed45c0405531af3d1f5b49a57c275835,What films featuring Tupac came out in 1992?,"get_tail_entities(Tupac Shakur, film)",wrong-relation
WebQTrn-2152_c9be001aaf5f69c9067ba4b530ca0a93,"Of all the sports teams in the American League West, which team was founded first?","get_tail_entities(American League West, sports.sports_league_division.teams)",wrong-relation
WebQTest-538_e767ac9ea2c1ea9896e9267b30ea9306,"What movie was nominiated with an award titled ""as Robby Ray Stewart"" and featured Taylor Swift?","get_tail_entities(Taylor Swift, film)",wrong-relation
WebQTest-1000_b1236660c5bd74b3c7b1722628aa4861,"Which countries that are included in Oceania, where the country calling code is more than 682?","get_tail_entities(Oceania, type)",wrong-relation
WebQTest-1923_275dfbe10c911cf65dff84afb1c5ede2,"What movies has the composer of the lyrics ""I learned from you"" played in?","get_tail_entities(I learned from you, music.composition.lyricist)",format-mismatch
